Client,Total Variants,Bandcamp Only,Shopify Only,Both BC+Shopify,Neither,Shopify Active,Shopify Draft,Shopify Archived,Has Inventory,In Stock,Out of Stock,No Inventory
"Leaving Records",417,416,0,1,0,0,1,0,417,276,141,0
"Northern Spy Records",355,0,24,331,0,250,105,0,244,165,79,111
"Clandestine Distribution",189,77,91,19,2,72,19,19,94,48,46,95
"Whited Sepulchre Records",164,0,0,164,0,0,164,0,164,94,70,0
"NNA Tapes",159,0,34,125,0,94,65,0,88,43,45,71
"True Panther",96,0,0,96,0,0,96,0,96,49,47,0
"Avant! Records",92,0,92,0,0,90,2,0,0,0,0,92
"Egghunt Records",70,0,20,50,0,48,22,0,40,27,13,30
"Feel It Records",63,0,63,0,0,1,0,62,0,0,0,63
"Whited Sepulchre",58,0,20,37,1,57,0,0,35,35,0,23
"Urashima",54,0,54,0,0,52,2,0,0,0,0,54
"Industrial Coast",52,0,52,0,0,47,0,5,0,0,0,52
"Total Black",45,0,45,0,0,39,6,0,0,0,0,45
"à La Carte Records",43,0,43,0,0,41,1,1,0,0,0,43
"Suction Records",41,0,41,0,0,41,0,0,0,0,0,41
"Gilgongo Records",38,0,38,0,0,37,1,0,0,0,0,38
"LILA लीला",35,0,0,35,0,4,31,0,35,23,12,0
"Elevator Bath",35,0,35,0,0,35,0,0,0,0,0,35
"Nagrania Cukiernicze",34,0,34,0,0,33,1,0,0,0,0,34
"Monorail Trespassing",29,0,29,0,0,29,0,0,0,0,0,29
"Aurora Central",28,0,28,0,0,28,0,0,0,0,0,28
"Chicago Research",27,0,27,0,0,0,0,27,0,0,0,27
"Torn Light Records",26,0,26,0,0,25,1,0,0,0,0,26
"Slowscan",26,0,26,0,0,23,2,1,0,0,0,26
"Birdwatcher",25,0,0,25,0,1,24,0,25,9,16,0
"Funeral Party Records",24,0,24,0,0,0,0,24,0,0,0,24
"Alter",22,0,22,0,0,20,0,2,0,0,0,22
"Fixed Rhythms",22,0,22,0,0,22,0,0,0,0,0,22
"Fantastique",21,0,21,0,0,21,0,0,0,0,0,21
"Hologram Label",21,0,21,0,0,17,0,4,0,0,0,21
"Young and Cold Records",19,0,19,0,0,19,0,0,0,0,0,19
"Nostilevo",16,0,16,0,0,14,0,2,0,0,0,16
"Difficult Interactions",16,0,16,0,0,16,0,0,0,0,0,16
"Helicopter",16,0,16,0,0,15,1,0,0,0,0,16
"Sound Pollution",16,0,16,0,0,0,0,16,0,0,0,16
"Satatuhatta",16,0,16,0,0,16,0,0,0,0,0,16
"Psychic Liberation",15,0,15,0,0,12,3,0,0,0,0,15
"Beso De Muerte",15,0,10,0,5,9,1,0,0,0,0,15
"SUSS",15,0,0,15,0,0,15,0,15,12,3,0
"Enmossed",14,0,14,0,0,12,2,0,0,0,0,14
"Raw Culture",13,0,13,0,0,7,0,6,0,0,0,13
"Black Day In July",13,0,13,0,0,5,8,0,0,0,0,13
"Radio Topo",11,0,11,0,0,11,0,0,0,0,0,11
"Digital Regress",11,0,11,0,0,4,7,0,0,0,0,11
"Rope Or Guillotine",11,0,11,0,0,11,0,0,0,0,0,11
"Virtues",10,0,10,0,0,7,3,0,0,0,0,10
"Unknown Precept",9,0,9,0,0,0,0,9,0,0,0,9
"Absurd Expo",9,0,9,0,0,9,0,0,0,0,0,9
"Zum",9,0,8,0,1,8,0,0,0,0,0,9
"Enmossed|Psychic Liberation",8,0,8,0,0,4,2,2,0,0,0,8
"Iron Lung Records",8,0,8,0,0,8,0,0,0,0,0,8
"Redscroll",8,0,8,0,0,4,4,0,0,0,0,8
"Discreet Music",8,0,8,0,0,8,0,0,0,0,0,8
"In The Pines",8,0,0,8,0,0,8,0,8,5,3,0
"Working Man Lay Down",7,0,7,0,0,6,1,0,0,0,0,7
"Noir Age",7,0,7,0,0,7,0,0,0,0,0,7
"Human Headstone Presents",7,0,7,0,0,4,3,0,0,0,0,7
"Archaic Vaults",6,0,6,0,0,4,2,0,0,0,0,6
"Helicopter (Seoul - Korea)",6,0,6,0,0,0,0,6,0,0,0,6
"IFB Records",6,0,6,0,0,1,5,0,0,0,0,6
"Bliss Point",6,0,6,0,0,6,0,0,0,0,0,6
"Lord Spikeheart",6,0,0,6,0,0,6,0,6,4,2,0
"4Q",5,0,5,0,0,5,0,0,0,0,0,5
"Torn Light",5,0,5,0,0,4,0,1,0,0,0,5
"She Lost Kontrol Records",5,0,5,0,0,0,0,5,0,0,0,5
"Happy Families",5,0,5,0,0,5,0,0,0,0,0,5
"Young & Cold",5,0,5,0,0,5,0,0,0,0,0,5
"Phage Tapes",5,0,5,0,0,4,0,1,0,0,0,5
"Fixed Rythms",5,0,5,0,0,5,0,0,0,0,0,5
"What Lies Beneath",5,0,5,0,0,2,3,0,0,0,0,5
"Midnight Mannequin",5,0,5,0,0,5,0,0,0,0,0,5
"Monorail Tresspassing",5,0,5,0,0,5,0,0,0,0,0,5
"Arkeen",4,0,4,0,0,4,0,0,0,0,0,4
"KSX Solutions",4,0,4,0,0,4,0,0,0,0,0,4
"Amerikan Erektors",4,0,4,0,0,4,0,0,0,0,0,4
"Happiest Place Records",4,0,4,0,0,4,0,0,0,0,0,4
"Ceremony Of Seasons",4,0,4,0,0,4,0,0,0,0,0,4
"Dinzu Artefacts",4,0,4,0,0,3,1,0,0,0,0,4
"Fördämning Arkiv",4,0,4,0,0,4,0,0,0,0,0,4
"Yerevan Tapes",4,0,4,0,0,0,4,0,0,0,0,4
"Tech Noir 1984",3,0,3,0,0,3,0,0,0,0,0,3
"All Gone",3,0,3,0,0,3,0,0,0,0,0,3
"Castra Records",3,0,3,0,0,0,0,3,0,0,0,3
"Bravecloud Records",3,0,3,0,0,3,0,0,0,0,0,3
"Putojefe Records",3,0,3,0,0,0,0,3,0,0,0,3
"Suction",3,0,3,0,0,3,0,0,0,0,0,3
"Antropofago Ateo",3,0,3,0,0,0,2,1,0,0,0,3
"Sisters In Christ",3,0,3,0,0,0,3,0,0,0,0,3
"Dead Channel Records",3,0,3,0,0,3,0,0,0,0,0,3
"MISC.",3,0,3,0,0,3,0,0,0,0,0,3
"No Rent",3,0,3,0,0,3,0,0,0,0,0,3
"Novichok",3,0,3,0,0,0,3,0,0,0,0,3
"True Panther Records",3,0,3,0,0,3,0,0,0,0,0,3
"Dream",2,0,2,0,0,0,0,2,0,0,0,2
"Hanson Records",2,0,2,0,0,1,0,1,0,0,0,2
"100 Limousines",2,0,2,0,0,2,0,0,0,0,0,2
"Electronic Music Foundation",2,0,2,0,0,2,0,0,0,0,0,2
"Legion Of The Dead",2,0,2,0,0,0,2,0,0,0,0,2
"Signal Records",2,0,2,0,0,0,0,2,0,0,0,2
"Troniks",2,0,2,0,0,2,0,0,0,0,0,2
"Absurd Exposition",2,0,2,0,0,2,0,0,0,0,0,2
"Howling Mine",2,0,2,0,0,0,2,0,0,0,0,2
"Abhorrent A.D.",2,0,2,0,0,2,0,0,0,0,0,2
"Breathing Problem",2,0,2,0,0,2,0,0,0,0,0,2
"Flag Day Recordings",2,0,2,0,0,0,2,0,0,0,0,2
"I Dischi Del Barone",2,0,2,0,0,2,0,0,0,0,0,2
"LA Dark Records",2,0,2,0,0,2,0,0,0,0,0,2
"Alchemy Records",2,0,2,0,0,2,0,0,0,0,0,2
"Gilgongo",2,0,2,0,0,2,0,0,0,0,0,2
"Shut Off Notice",2,0,2,0,0,2,0,0,0,0,0,2
"Fönstret",2,0,2,0,0,2,0,0,0,0,0,2
"Matt McBane",2,0,0,2,0,0,2,0,2,1,1,0
"Templo Animal",2,0,2,0,0,2,0,0,0,0,0,2
"Across the Horizon",2,1,0,1,0,0,1,0,2,2,0,0
"Third Coming Records",1,0,1,0,0,1,0,0,0,0,0,1
"Make Noise Records",1,0,1,0,0,1,0,0,0,0,0,1
"Dassi",1,0,1,0,0,0,0,1,0,0,0,1
"Cloister",1,0,1,0,0,1,0,0,0,0,0,1
"Inu Wan Wan Records",1,0,1,0,0,0,0,1,0,0,0,1
"Stellage",1,0,1,0,0,0,1,0,0,0,0,1
"Future Corridor",1,0,1,0,0,1,0,0,0,0,0,1
"Propitious Artifacts",1,0,1,0,0,1,0,0,0,0,0,1
"h2l",1,0,1,0,0,1,0,0,0,0,0,1
"Waveshaper Media",1,0,1,0,0,1,0,0,0,0,0,1
"Leather Bath",1,0,1,0,0,1,0,0,0,0,0,1
"No Emb Blanc",1,0,1,0,0,1,0,0,0,0,0,1
"Discoteca Italia",1,0,1,0,0,0,1,0,0,0,0,1
"Bank NYC",1,0,1,0,0,0,1,0,0,0,0,1
"Listening House",1,0,1,0,0,0,1,0,0,0,0,1
"HN_AM",1,0,1,0,0,0,1,0,0,0,0,1
"SELN Recordings",1,0,1,0,0,1,0,0,0,0,0,1
"Regional Bears",1,0,1,0,0,0,0,1,0,0,0,1
"Signal Records / Chicago Research",1,0,1,0,0,1,0,0,0,0,0,1
"Mammas Mysteriska Jukebox",1,0,1,0,0,1,0,0,0,0,0,1
"No Rent Records",1,0,1,0,0,0,0,1,0,0,0,1
"Appetite|Discreet Music",1,0,1,0,0,1,0,0,0,0,0,1
"Appetite",1,0,1,0,0,1,0,0,0,0,0,1
"Mumbling Eye",1,0,1,0,0,1,0,0,0,0,0,1
"Flint Magazine",1,0,1,0,0,0,1,0,0,0,0,1
"Chondritic Sound",1,0,1,0,0,1,0,0,0,0,0,1
"Damien Records",1,0,1,0,0,1,0,0,0,0,0,1
"Auris Apothecary",1,0,1,0,0,0,0,1,0,0,0,1
"Omlott",1,0,1,0,0,1,0,0,0,0,0,1
"Vial",1,0,1,0,0,0,1,0,0,0,0,1
"AOK Records",1,0,1,0,0,1,0,0,0,0,0,1
"Floorjazz Recordings",1,0,1,0,0,1,0,0,0,0,0,1
"Surrealist Research",1,0,1,0,0,0,0,1,0,0,0,1
"Haekalu Records",1,0,1,0,0,1,0,0,0,0,0,1
"New Forces",1,0,1,0,0,1,0,0,0,0,0,1
"No Coast / No Hope",1,0,1,0,0,1,0,0,0,0,0,1
"No Embalming",1,0,1,0,0,1,0,0,0,0,0,1
"Post-Consumer",1,0,1,0,0,0,1,0,0,0,0,1
"Hands & Moment",1,0,0,0,1,0,0,0,0,0,0,1
"Test Tapes",1,0,1,0,0,1,0,0,0,0,0,1
"Vendetta Records",1,0,1,0,0,0,1,0,0,0,0,1
"Torn Light Records, Whited Sepulchre",1,0,1,0,0,1,0,0,0,0,0,1
"Flea",1,0,1,0,0,0,1,0,0,0,0,1
"Purl (self-release)",1,0,1,0,0,1,0,0,0,0,0,1
"Birdwatcher / Carillonia",1,0,1,0,0,0,1,0,0,0,0,1
"Bluesanct",1,0,1,0,0,0,1,0,0,0,0,1
"Nicole McCabe",1,0,0,1,0,0,1,0,1,0,1,0
"Good Neighbor",1,0,0,1,0,0,1,0,1,1,0,0
"Ilam Press",1,0,1,0,0,0,0,1,0,0,0,1
"Real Life Drama Records",1,0,1,0,0,1,0,0,0,0,0,1
"Xol Meissner",1,0,0,1,0,0,1,0,1,0,1,0
"Intrasert Sound",1,0,1,0,0,1,0,0,0,0,0,1
"Fountain AVM",1,0,1,0,0,1,0,0,0,0,0,1
"Textile Records",1,0,1,0,0,1,0,0,0,0,0,1
"Micah Thomas",1,0,0,1,0,0,1,0,1,0,1,0
"HelicopterHelicopter (Seoul - Korea)",1,0,1,0,0,0,1,0,0,0,0,1

"TOTAL",2875,494,1452,919,10,1503,656,212,1275,794,481,1600