sku,current_title,member_band_id
"FM-LEPT","Limited Edition ""Passageways"" T-Shirt",1884336723
"E-HF-HFC","Human Form - Human Form CD",1191488726
"M-LALD-BVLI","Like Author, Like Daughter - Black Vinyl + Lyric Insert + DL Code",1685073539
"M-LALD-SLRP","Like Author, Like Daughter - ***Super Limited Reissue Pre-Order + Split w/ Planning for Burial + T-Shirt***",1685073539
"M-LALD-BVIC","Like Author, Like Daughter - Pre-Order: Black Vinyl + Cassette Split with Planning for Burial + T-Shirt + Lyric Insert",1685073539
"AE-VTWC-VTWC","VARIEGATED TRIBUTARY / WOVEN CRESCENT - Variegated Tributary / Woven Crescent Test Press + LP (Edition of 1)",2942583934
"SP-LFNT","""Living for Nothing"" T-Shirt",3812492964
"CR-TBS-LEOS","Tuufuhhoowaah / Bday Shots - Limited Edition One-Sided 12"" LP",240216987
"CR-DDTS","""Double Date T-Shirt""",240216987
"LP-TH-002","3xaWoman - Vinyl Record",1778399332
"CR-TBS-TBST","Tuufuhhoowaah / Bday Shots - Tuufuhhoowaah / Bday Shots Test Press + LP (Edition of 4)",240216987
"CS-WSR-014-3BUNDLE","drowse / AMULETS - PACKAGE: 2019 Fall Cassette Batch",627481494
"FM-P-LE12","Passageways - PACKAGE: **Super-Limited Edition 12"" Vinyl + T-Shirt***",1884336723
"JR-FOBE-LE12","Fairchild OST + Borderland EP - Limited Edition 12"" Vinyl",3801782371
"CR-TBS-PWF1","Tuufuhhoowaah / Bday Shots - PACKAGE: WSR Four 12"" Series",240216987
"CD-WSR-034-1","drowse / AMULETS - Limited Edition Split Cassette",872241626
"MT-A-ALIL","Acknowledgment - Acknowledgment LP + Insert + Limited Edition ""Guides"" Risograph Poster",3329351378
"MT-A-IAB","Acknowledgment - Implication + Acknowledgment Bundle",3329351378
"PFB-SGTT-LEC","Sister Grotto & Tucker Theodore / Planning  for Burial - Limited Edition Cassette",1835875721
"HADJ-OBHA-LE12","Lower Yr Voice - Limited Edition 180 gram 12"" Silver Vinyl",3452999198
"EM-SA-SATP","Stars Aligned - Stars Aligned Test Press + LP (Edition of 1)",1882424784
"EM-SA-SALU","Stars Aligned - Stars Aligned LP + ""Union"" Zine",1882424784
"EM-SA-LE12","Stars Aligned - Limited Edition 12"" Vinyl",1882424784
"AH-F-LE18","Fatigue - Limited Edition 180 Gram Vinyl",1157314367
"E-HF-LE12-2","Human Form - Limited Edition 12"" + Human Form CD",1191488726
"E-HF-LE12-1","Human Form - Limited Edition 12"" LP + Human Form CD + Endlings S/T CD",1191488726
"E-HF-LE12","Human Form - Limited Edition 12"" Vinyl",1191488726
"E-HF-HFTP","Human Form - Human Form Test Press + LP (Edition of 1)",1191488726
"EFJK-EFJK-LE12","Ezra Feinberg & John Kolodij - Limited Edition 12"" 180 gram Vinyl LP",2894094637
"WRT-VTS-LECC","KBD / WRT - Limited Edition Cream Colored Vinyl",3773508820
"AE-VTWC-LEOS","VARIEGATED TRIBUTARY / WOVEN CRESCENT - Limited Edition One-Sided 12"" LP",2942583934
"FP-O-LEC","Ouroboros Patching - Limited Edition Cassette",360019802
"LP-TH-006","Dust Clouds May Exist - Vinyl Record",1656778317
"BK-BKSP-SLEC","Brianna Kelly / Sympathy Pain - Super Limited Edition Cassette w. Alt. Artwork",3383143081
"TT-TTS-LESC","TRUPA TRUPA / Suspirians - Limited Edition Split Cassette",1390949290
"SP-SC-LEC","Sympathy Pain / Brianna Kelly - Limited Edition Cassette",3812492964
"R-GOAB","Garden of Astral Blooms Flash Drive + 3D Printed Object",1202135962
"MT-LERP","Limited Edition Risograph ""Guides"" Poster",3329351378
"AH-F-FTPL","Fatigue - Fatigue Test Press + LP (Edition of 1)",1157314367
"LM-LMVM-LESC","Lake Mary / Vicky Mettler - Limited Edition Split Cassette",4120818567
"D-DA-LESC","drowse / AMULETS - Limited Edition Split Cassette",627481494
"KBD-TS-LE12","KBD / WRT - Limited Edition 12"" Cream Colored Vinyl",3167141708
"FM-P-POLE","Passageways - Limited Edition 12"" Vinyl",1884336723
"JR-FOBE-FOBE","Fairchild OST + Borderland EP - Fairchild OST + Borderland EP Test Press + LP (Edition of 1)",3801782371
"A-DA-2019","drowse / AMULETS - PACKAGE: 2019 Fall Cassette Batch",872241626
"LM-LMTR-SDLW","Lake Mary & The Ranch Family Band - Sun Dogs - PACKAGE: ""Sun Dogs"" LP + WSR Fall Tape Batch",4120818567
"MT-I-IAB-1","Implication - Implication + Acknowledgment Bundle",3329351378
"LM-LMTR-SDLS","Lake Mary & The Ranch Family Band - Sun Dogs - PACKAGE: ""Sun Dogs"" LP + Split Cassette with Vicky Mettler",4120818567
"AE-VTWC-PWF1","VARIEGATED TRIBUTARY / WOVEN CRESCENT - PACKAGE: WSR Four 12"" Series",2942583934
"CD-TH-006","Dust Clouds May Exist - Compact Disc",1656778317
"T-AI-AI7","ANGEL II - ANGEL II 7""",3297340250
"LP-TH-011","bloodroot - 12"" Vinyl Record",1979470880
"CD-TH-011","bloodroot - Compact Disc",1979470880
"LP-TH-012","Opalescence - Limited Edition 12"" Vinyl",594056531
"CD-TH-012","Opalescence - Compact Disc",594056531
"CD-TH-002","3xaWoman - Compact Disc",1778399332
"T-HB-HB12","Honesty Box - honesty box 12""",3297340250
"MT-A-LT25","Acknowledgment - *Limited to 25* LP + Zine + Poster",3329351378
"MT-A-LELP","Acknowledgment - Limited Edition LP + Poster",3329351378
"EM-SA-LE12-1","Stars Aligned - Limited Edition 12"" Vinyl",1882424784
"MT-A-ATPL","Acknowledgment - Acknowledgment Test Press + LP (Edition of 1)",3329351378
"MT-I-LEC","Implication - Limited Edition Cassette",3329351378
"LM-LMTR-SDTP","Lake Mary & The Ranch Family Band - Sun Dogs - Sun Dogs Test Press + LP (Edition of 1)",4120818567
"BK-BKSP-LESC","Brianna Kelly / Sympathy Pain - Limited Edition Split Cassette with Sympathy Pain",3383143081
"LM-LMTR-LEL","Lake Mary & The Ranch Family Band - Sun Dogs - Limited Edition LP",4120818567
"LM-LMVM-2019","Lake Mary / Vicky Mettler - 2019 Fall Cassette Batch",4120818567
"SM-GGET-LEC","Green Grass Eats the Buffalo - Limited Edition Cassette",3710824793
"E-HF-HFCS","Human Form - Human Form CD + S/T Endlings CD",1191488726
"TT-TTS-2019","TRUPA TRUPA / Suspirians - PACKAGE: 2019 Fall Cassette Batch",1390949290
"HADJ-LYV-LYVT","Lower Yr Voice - Lower Yr Voice Test Press + LP (Edition of 4)",3452999198
"HADJ-LYV-POLE","Lower Yr Voice - 180 gram Black 12"" Vinyl",3452999198
"SP-SPBK-SLEC","Sympathy Pain / Brianna Kelly - Super Limited Edition Cassette w. Alt. Artwork",3812492964